ad_id,combined_entities
x_1352104075278910,"['WMPID1103', 'WMPID1290', 'WMPID2331']"
x_1352436062160101,"['WMPID5270', 'WMPID5344']"
x_1353621978503220,[]
x_1357810798083535,"['WMPID5264', 'WMPID5297']"
x_1358017274604523,"['WMPID5305', 'WMPID5029', 'WMPID3196']"
x_1358748697994358,[]
x_1360015371274483,['WMPID1302']
x_1361451464390591,['WMPID5339']
x_1365615557542037,['WMPID4511']
x_1365811893902136,[]
x_1366471020854791,"['WMPID5234', 'WMPID1179']"
x_1369014210579634,"['WMPID258', 'WMPID5206']"
x_1369455483582289,[]
x_1369477316792302,[]
x_1369745310457687,['WMPID4009']
x_1371413496599638,[]
x_1373641666778611,"['WMPID1289', 'WMPID2001']"
x_1376325379566750,[]
x_1383468028742131,[]
x_1383646842457332,['WMPID1069']
x_1384583228702845,['WMPID1223']
x_1384592041948901,"['WMPID3907', 'WMPID1289', 'WMPID3144']"
x_1391684541324781,"['WMPID969', 'WMPID4511']"
x_1393179017874096,['WMPID1504']
x_1393252594754429,[]
x_1395589230973230,"['WMPID2029', 'WMPID5330']"
x_1396500677542786,[]
x_1397694204092058,['WMPID5341']
x_1397912834034055,[]
x_1398188150710492,"['WMPID1111', 'WMPID3853']"
x_1398202607376450,['WMPID5335']
x_1398553234006317,[]
x_1400338960475069,['WMPID3545']
x_1400374080453030,[]
x_1400661190403129,[]
x_1400907470437176,"['WMPID3021', 'WMPID3297']"
x_1401112083630762,[]
x_1401871033555439,['WMPID3331']
x_1402885440238937,['WMPID5303']
x_1403486850179991,"['WMPID5281', 'WMPID906', 'WMPID5323']"
x_1405951589950861,[]
x_1408781206197669,[]
x_1409549449469230,[]
x_1410670226129536,"['WMPID1117', 'WMPID5206']"
x_1414182099067584,"['WMPID1321', 'WMPID787']"
x_1415914755565147,[]
x_1424007921429079,[]
x_1424344431410857,"['WMPID5206', 'WMPID1305']"
x_1425055641402354,['WMPID86']
